Notes,State of Residence,County of Residence,Year,Births,% of Total Births
,Mississippi,"Rankin County, MS",2017,1732,0.01%
,Mississippi,"Rankin County, MS",2018,1744,0.01%
,Mississippi,"Rankin County, MS",2019,1736,0.01%
Total,Mississippi,"Rankin County, MS",,7014,0.05%
,Mississippi,"Unidentified Counties, MS",2016,26371,0.17%
,Mississippi,"Unidentified Counties, MS",2017,26037,0.17%
,Mississippi,"Unidentified Counties, MS",2018,25808,0.17%
,Mississippi,"Unidentified Counties, MS",2019,25526,0.17%
Total,Mississippi,"Unidentified Counties, MS",,103742,0.68%
Total,Mississippi,,,148921,0.97%
,Missouri,"Boone County, MO",2016,2093,0.01%
,Missouri,"Boone County, MO",2017,2072,0.01%
,Missouri,"Boone County, MO",2018,2050,0.01%
,Missouri,"Boone County, MO",2019,2075,0.01%
Total,Missouri,"Boone County, MO",,8290,0.05%
,Missouri,"Clay County, MO",2016,2962,0.02%
,Missouri,"Clay County, MO",2017,3040,0.02%
,Missouri,"Clay County, MO",2018,3105,0.02%
,Missouri,"Clay County, MO",2019,3087,0.02%
Total,Missouri,"Clay County, MO",,12194,0.08%
,Missouri,"Franklin County, MO",2016,1248,0.01%
,Missouri,"Franklin County, MO",2017,1256,0.01%
,Missouri,"Franklin County, MO",2018,1174,0.01%
,Missouri,"Franklin County, MO",2019,1222,0.01%
Total,Missouri,"Franklin County, MO",,4900,0.03%
,Missouri,"Greene County, MO",2016,3579,0.02%
,Missouri,"Greene County, MO",2017,3339,0.02%
,Missouri,"Greene County, MO",2018,3309,0.02%
,Missouri,"Greene County, MO",2019,3421,0.02%
Total,Missouri,"Greene County, MO",,13648,0.09%
,Missouri,"Jackson County, MO",2016,9408,0.06%
,Missouri,"Jackson County, MO",2017,9291,0.06%
,Missouri,"Jackson County, MO",2018,9065,0.06%
,Missouri,"Jackson County, MO",2019,8838,0.06%
Total,Missouri,"Jackson County, MO",,36602,0.24%
,Missouri,"Jasper County, MO",2016,1669,0.01%
,Missouri,"Jasper County, MO",2017,1596,0.01%
,Missouri,"Jasper County, MO",2018,1570,0.01%
,Missouri,"Jasper County, MO",2019,1542,0.01%
Total,Missouri,"Jasper County, MO",,6377,0.04%
,Missouri,"Jefferson County, MO",2016,2633,0.02%
,Missouri,"Jefferson County, MO",2017,2516,0.02%
,Missouri,"Jefferson County, MO",2018,2545,0.02%
,Missouri,"Jefferson County, MO",2019,2506,0.02%
Total,Missouri,"Jefferson County, MO",,10200,0.07%
,Missouri,"St. Charles County, MO",2016,4487,0.03%
,Missouri,"St. Charles County, MO",2017,4459,0.03%
,Missouri,"St. Charles County, MO",2018,4306,0.03%
,Missouri,"St. Charles County, MO",2019,4305,0.03%
Total,Missouri,"St. Charles County, MO",,17557,0.11%
,Missouri,"St. Louis County, MO",2016,11692,0.08%
,Missouri,"St. Louis County, MO",2017,11374,0.07%
,Missouri,"St. Louis County, MO",2018,11368,0.07%
,Missouri,"St. Louis County, MO",2019,11392,0.07%
Total,Missouri,"St. Louis County, MO",,45826,0.30%
,Missouri,"St. Louis city, MO",2016,4317,0.03%
,Missouri,"St. Louis city, MO",2017,4138,0.03%
,Missouri,"St. Louis city, MO",2018,4127,0.03%
,Missouri,"St. Louis city, MO",2019,3951,0.03%
Total,Missouri,"St. Louis city, MO",,16533,0.11%
,Missouri,"Unidentified Counties, MO",2016,30617,0.20%
,Missouri,"Unidentified Counties, MO",2017,29953,0.20%
,Missouri,"Unidentified Counties, MO",2018,30650,0.20%
,Missouri,"Unidentified Counties, MO",2019,29788,0.19%
Total,Missouri,"Unidentified Counties, MO",,121008,0.79%
Total,Missouri,,,293135,1.91%
,Montana,"Missoula County, MT",2016,1187,0.01%
,Montana,"Missoula County, MT",2017,1138,0.01%
,Montana,"Missoula County, MT",2018,1063,0.01%
,Montana,"Missoula County, MT",2019,1074,0.01%
Total,Montana,"Missoula County, MT",,4462,0.03%
,Montana,"Yellowstone County, MT",2016,1935,0.01%
,Montana,"Yellowstone County, MT",2017,1898,0.01%
,Montana,"Yellowstone County, MT",2018,1808,0.01%
,Montana,"Yellowstone County, MT",2019,1866,0.01%
Total,Montana,"Yellowstone County, MT",,7507,0.05%
,Montana,"Unidentified Counties, MT",2016,9160,0.06%
,Montana,"Unidentified Counties, MT",2017,8763,0.06%
,Montana,"Unidentified Counties, MT",2018,8642,0.06%
,Montana,"Unidentified Counties, MT",2019,8139,0.05%
Total,Montana,"Unidentified Counties, MT",,34704,0.23%
Total,Montana,,,46673,0.30%
,Nebraska,"Douglas County, NE",2016,8832,0.06%
,Nebraska,"Douglas County, NE",2017,8305,0.05%
,Nebraska,"Douglas County, NE",2018,8342,0.05%
,Nebraska,"Douglas County, NE",2019,8043,0.05%
Total,Nebraska,"Douglas County, NE",,33522,0.22%
,Nebraska,"Lancaster County, NE",2016,4019,0.03%
,Nebraska,"Lancaster County, NE",2017,3925,0.03%
,Nebraska,"Lancaster County, NE",2018,3893,0.03%
,Nebraska,"Lancaster County, NE",2019,3670,0.02%
Total,Nebraska,"Lancaster County, NE",,15507,0.10%
,Nebraska,"Sarpy County, NE",2016,2464,0.02%
,Nebraska,"Sarpy County, NE",2017,2589,0.02%
,Nebraska,"Sarpy County, NE",2018,2386,0.02%
,Nebraska,"Sarpy County, NE",2019,2446,0.02%
Total,Nebraska,"Sarpy County, NE",,9885,0.06%
,Nebraska,"Unidentified Counties, NE",2016,11274,0.07%
,Nebraska,"Unidentified Counties, NE",2017,11002,0.07%
,Nebraska,"Unidentified Counties, NE",2018,10867,0.07%
,Nebraska,"Unidentified Counties, NE",2019,10596,0.07%
Total,Nebraska,"Unidentified Counties, NE",,43739,0.29%
Total,Nebraska,,,102653,0.67%
,Nevada,"Clark County, NV",2016,27388,0.18%
,Nevada,"Clark County, NV",2017,26949,0.18%
,Nevada,"Clark County, NV",2018,26773,0.17%
,Nevada,"Clark County, NV",2019,26266,0.17%
Total,Nevada,"Clark County, NV",,107376,0.70%
,Nevada,"Washoe County, NV",2016,5387,0.04%
,Nevada,"Washoe County, NV",2017,5210,0.03%
,Nevada,"Washoe County, NV",2018,5399,0.04%
,Nevada,"Washoe County, NV",2019,5216,0.03%
Total,Nevada,"Washoe County, NV",,21212,0.14%
,Nevada,"Unidentified Counties, NV",2016,3485,0.02%
,Nevada,"Unidentified Counties, NV",2017,3597,0.02%
,Nevada,"Unidentified Counties, NV",2018,3510,0.02%
,Nevada,"Unidentified Counties, NV",2019,3590,0.02%
Total,Nevada,"Unidentified Counties, NV",,14182,0.09%
Total,Nevada,,,142770,0.93%
,New Hampshire,"Hillsborough County, NH",2016,4240,0.03%
,New Hampshire,"Hillsborough County, NH",2017,4178,0.03%
,New Hampshire,"Hillsborough County, NH",2018,4144,0.03%
,New Hampshire,"Hillsborough County, NH",2019,4135,0.03%
Total,New Hampshire,"Hillsborough County, NH",,16697,0.11%
,New Hampshire,"Merrimack County, NH",2016,1284,0.01%
,New Hampshire,"Merrimack County, NH",2017,1305,0.01%
,New Hampshire,"Merrimack County, NH",2018,1305,0.01%
,New Hampshire,"Merrimack County, NH",2019,1213,0.01%
Total,New Hampshire,"Merrimack County, NH",,5107,0.03%
,New Hampshire,"Rockingham County, NH",2016,2654,0.02%
,New Hampshire,"Rockingham County, NH",2017,2669,0.02%
,New Hampshire,"Rockingham County, NH",2018,2650,0.02%
,New Hampshire,"Rockingham County, NH",2019,2652,0.02%
Total,New Hampshire,"Rockingham County, NH",,10625,0.07%
,New Hampshire,"Strafford County, NH",2016,1211,0.01%
,New Hampshire,"Strafford County, NH",2017,1180,0.01%
,New Hampshire,"Strafford County, NH",2018,1143,0.01%
,New Hampshire,"Strafford County, NH",2019,1144,0.01%
Total,New Hampshire,"Strafford County, NH",,4678,0.03%
,New Hampshire,"Unidentified Counties, NH",2016,2878,0.02%
,New Hampshire,"Unidentified Counties, NH",2017,2784,0.02%
,New Hampshire,"Unidentified Counties, NH",2018,2753,0.02%
,New Hampshire,"Unidentified Counties, NH",2019,2695,0.02%
Total,New Hampshire,"Unidentified Counties, NH",,11110,0.07%
Total,New Hampshire,,,48217,0.31%
,New Jersey,"Atlantic County, NJ",2016,2836,0.02%
,New Jersey,"Atlantic County, NJ",2017,2804,0.02%
,New Jersey,"Atlantic County, NJ",2018,2797,0.02%
,New Jersey,"Atlantic County, NJ",2019,2839,0.02%
Total,New Jersey,"Atlantic County, NJ",,11276,0.07%
,New Jersey,"Bergen County, NJ",2016,9464,0.06%
,New Jersey,"Bergen County, NJ",2017,9339,0.06%
,New Jersey,"Bergen County, NJ",2018,9152,0.06%
,New Jersey,"Bergen County, NJ",2019,9006,0.06%
Total,New Jersey,"Bergen County, NJ",,36961,0.24%
,New Jersey,"Burlington County, NJ",2016,4419,0.03%
,New Jersey,"Burlington County, NJ",2017,4424,0.03%
,New Jersey,"Burlington County, NJ",2018,4365,0.03%
,New Jersey,"Burlington County, NJ",2019,4419,0.03%
Total,New Jersey,"Burlington County, NJ",,17627,0.11%
,New Jersey,"Camden County, NJ",2016,6226,0.04%
,New Jersey,"Camden County, NJ",2017,6022,0.04%
,New Jersey,"Camden County, NJ",2018,6157,0.04%
,New Jersey,"Camden County, NJ",2019,6123,0.04%
Total,New Jersey,"Camden County, NJ",,24528,0.16%
,New Jersey,"Cumberland County, NJ",2016,1876,0.01%
,New Jersey,"Cumberland County, NJ",2017,1839,0.01%
,New Jersey,"Cumberland County, NJ",2018,1917,0.01%
,New Jersey,"Cumberland County, NJ",2019,1832,0.01%
Total,New Jersey,"Cumberland County, NJ",,7464,0.05%
,New Jersey,"Essex County, NJ",2016,10442,0.07%
,New Jersey,"Essex County, NJ",2017,10298,0.07%
,New Jersey,"Essex County, NJ",2018,10425,0.07%
,New Jersey,"Essex County, NJ",2019,9917,0.06%
Total,New Jersey,"Essex County, NJ",,41082,0.27%
,New Jersey,"Gloucester County, NJ",2016,2837,0.02%
,New Jersey,"Gloucester County, NJ",2017,2891,0.02%
,New Jersey,"Gloucester County, NJ",2018,2762,0.02%
,New Jersey,"Gloucester County, NJ",2019,2923,0.02%
Total,New Jersey,"Gloucester County, NJ",,11413,0.07%
,New Jersey,"Hudson County, NJ",2016,10383,0.07%
,New Jersey,"Hudson County, NJ",2017,10165,0.07%
,New Jersey,"Hudson County, NJ",2018,10234,0.07%
,New Jersey,"Hudson County, NJ",2019,9975,0.07%
Total,New Jersey,"Hudson County, NJ",,40757,0.27%
,New Jersey,"Hunterdon County, NJ",2016,927,0.01%
,New Jersey,"Hunterdon County, NJ",2017,952,0.01%
,New Jersey,"Hunterdon County, NJ",2018,968,0.01%
,New Jersey,"Hunterdon County, NJ",2019,997,0.01%
Total,New Jersey,"Hunterdon County, NJ",,3844,0.03%
,New Jersey,"Mercer County, NJ",2016,4280,0.03%
,New Jersey,"Mercer County, NJ",2017,4081,0.03%
,New Jersey,"Mercer County, NJ",2018,3999,0.03%
,New Jersey,"Mercer County, NJ",2019,4103,0.03%
Total,New Jersey,"Mercer County, NJ",,16463,0.11%
,New Jersey,"Middlesex County, NJ",2016,9332,0.06%
,New Jersey,"Middlesex County, NJ",2017,9123,0.06%
,New Jersey,"Middlesex County, NJ",2018,8872,0.06%
,New Jersey,"Middlesex County, NJ",2019,8516,0.06%
Total,New Jersey,"Middlesex County, NJ",,35843,0.23%
,New Jersey,"Monmouth County, NJ",2016,5960,0.04%
,New Jersey,"Monmouth County, NJ",2017,5737,0.04%
,New Jersey,"Monmouth County, NJ",2018,5888,0.04%
,New Jersey,"Monmouth County, NJ",2019,5664,0.04%
Total,New Jersey,"Monmouth County, NJ",,23249,0.15%
,New Jersey,"Morris County, NJ",2016,4633,0.03%
,New Jersey,"Morris County, NJ",2017,4636,0.03%
,New Jersey,"Morris County, NJ",2018,4487,0.03%
,New Jersey,"Morris County, NJ",2019,4486,0.03%
Total,New Jersey,"Morris County, NJ",,18242,0.12%
,New Jersey,"Ocean County, NJ",2016,8566,0.06%
,New Jersey,"Ocean County, NJ",2017,8597,0.06%
,New Jersey,"Ocean County, NJ",2018,9015,0.06%
,New Jersey,"Ocean County, NJ",2019,9028,0.06%
Total,New Jersey,"Ocean County, NJ",,35206,0.23%
,New Jersey,"Passaic County, NJ",2016,6842,0.04%
,New Jersey,"Passaic County, NJ",2017,6790,0.04%
,New Jersey,"Passaic County, NJ",2018,6542,0.04%
,New Jersey,"Passaic County, NJ",2019,6394,0.04%
Total,New Jersey,"Passaic County, NJ",,26568,0.17%
,New Jersey,"Somerset County, NJ",2016,3251,0.02%
,New Jersey,"Somerset County, NJ",2017,3068,0.02%
,New Jersey,"Somerset County, NJ",2018,3210,0.02%
,New Jersey,"Somerset County, NJ",2019,3057,0.02%
Total,New Jersey,"Somerset County, NJ",,12586,0.08%
,New Jersey,"Sussex County, NJ",2016,1180,0.01%
,New Jersey,"Sussex County, NJ",2017,1213,0.01%
,New Jersey,"Sussex County, NJ",2018,1203,0.01%
,New Jersey,"Sussex County, NJ",2019,1209,0.01%
Total,New Jersey,"Sussex County, NJ",,4805,0.03%
,New Jersey,"Union County, NJ",2016,6756,0.04%
,New Jersey,"Union County, NJ",2017,6859,0.04%
,New Jersey,"Union County, NJ",2018,6777,0.04%
,New Jersey,"Union County, NJ",2019,6653,0.04%
Total,New Jersey,"Union County, NJ",,27045,0.18%
,New Jersey,"Warren County, NJ",2016,958,0.01%
,New Jersey,"Warren County, NJ",2017,935,0.01%
,New Jersey,"Warren County, NJ",2018,1020,0.01%
,New Jersey,"Warren County, NJ",2019,968,0.01%
Total,New Jersey,"Warren County, NJ",,3881,0.03%
,New Jersey,"Unidentified Counties, NJ",2016,1479,0.01%
,New Jersey,"Unidentified Counties, NJ",2017,1477,0.01%
,New Jersey,"Unidentified Counties, NJ",2018,1433,0.01%
,New Jersey,"Unidentified Counties, NJ",2019,1476,0.01%
Total,New Jersey,"Unidentified Counties, NJ",,5865,0.04%
Total,New Jersey,,,404705,2.64%
,New Mexico,"Bernalillo County, NM",2016,7574,0.05%
,New Mexico,"Bernalillo County, NM",2017,7436,0.05%
,New Mexico,"Bernalillo County, NM",2018,7078,0.05%
,New Mexico,"Bernalillo County, NM",2019,7005,0.05%
Total,New Mexico,"Bernalillo County, NM",,29093,0.19%
,New Mexico,"Dona Ana County, NM",2016,2839,0.02%
,New Mexico,"Dona Ana County, NM",2017,2674,0.02%
,New Mexico,"Dona Ana County, NM",2018,2587,0.02%
,New Mexico,"Dona Ana County, NM",2019,2631,0.02%
Total,New Mexico,"Dona Ana County, NM",,10731,0.07%
,New Mexico,"Sandoval County, NM",2016,1464,0.01%
,New Mexico,"Sandoval County, NM",2017,1412,0.01%
,New Mexico,"Sandoval County, NM",2018,1390,0.01%
,New Mexico,"Sandoval County, NM",2019,1380,0.01%
Total,New Mexico,"Sandoval County, NM",,5646,0.04%
,New Mexico,"San Juan County, NM",2016,1726,0.01%
,New Mexico,"San Juan County, NM",2017,1472,0.01%
,New Mexico,"San Juan County, NM",2018,1444,0.01%
,New Mexico,"San Juan County, NM",2019,1430,0.01%
Total,New Mexico,"San Juan County, NM",,6072,0.04%
,New Mexico,"Santa Fe County, NM",2016,1290,0.01%
,New Mexico,"Santa Fe County, NM",2017,1222,0.01%
,New Mexico,"Santa Fe County, NM",2018,1180,0.01%
,New Mexico,"Santa Fe County, NM",2019,1176,0.01%
Total,New Mexico,"Santa Fe County, NM",,4868,0.03%
,New Mexico,"Unidentified Counties, NM",2016,9799,0.06%
,New Mexico,"Unidentified Counties, NM",2017,9551,0.06%
,New Mexico,"Unidentified Counties, NM",2018,9360,0.06%
,New Mexico,"Unidentified Counties, NM",2019,9338,0.06%
Total,New Mexico,"Unidentified Counties, NM",,38048,0.25%
Total,New Mexico,,,94458,0.62%
,New York,"Albany County, NY",2016,3045,0.02%
,New York,"Albany County, NY",2017,3083,0.02%
,New York,"Albany County, NY",2018,2886,0.02%
,New York,"Albany County, NY",2019,2892,0.02%
Total,New York,"Albany County, NY",,11906,0.08%
,New York,"Bronx County, NY",2016,21161,0.14%
,New York,"Bronx County, NY",2017,20588,0.13%
,New York,"Bronx County, NY",2018,20121,0.13%
,New York,"Bronx County, NY",2019,19327,0.13%
Total,New York,"Bronx County, NY",,81197,0.53%
,New York,"Broome County, NY",2016,1985,0.01%
,New York,"Broome County, NY",2017,1979,0.01%
,New York,"Broome County, NY",2018,1877,0.01%
,New York,"Broome County, NY",2019,1964,0.01%
Total,New York,"Broome County, NY",,7805,0.05%
,New York,"Chautauqua County, NY",2016,1345,0.01%
,New York,"Chautauqua County, NY",2017,1344,0.01%
,New York,"Chautauqua County, NY",2018,1299,0.01%
,New York,"Chautauqua County, NY",2019,1335,0.01%
Total,New York,"Chautauqua County, NY",,5323,0.03%
,New York,"Dutchess County, NY",2016,2519,0.02%
,New York,"Dutchess County, NY",2017,2604,0.02%
,New York,"Dutchess County, NY",2018,2549,0.02%
,New York,"Dutchess County, NY",2019,2701,0.02%
Total,New York,"Dutchess County, NY",,10373,0.07%
,New York,"Erie County, NY",2016,9916,0.06%
,New York,"Erie County, NY",2017,9870,0.06%
,New York,"Erie County, NY",2018,9812,0.06%
,New York,"Erie County, NY",2019,9698,0.06%
Total,New York,"Erie County, NY",,39296,0.26%
,New York,"Jefferson County, NY",2016,1891,0.01%
,New York,"Jefferson County, NY",2017,2009,0.01%
,New York,"Jefferson County, NY",2018,1864,0.01%
,New York,"Jefferson County, NY",2019,1807,0.01%
Total,New York,"Jefferson County, NY",,7571,0.05%
,New York,"Kings County, NY",2016,40802,0.27%
,New York,"Kings County, NY",2017,39192,0.26%
,New York,"Kings County, NY",2018,38574,0.25%
,New York,"Kings County, NY",2019,37153,0.24%
Total,New York,"Kings County, NY",,155721,1.02%
,New York,"Monroe County, NY",2016,8004,0.05%
,New York,"Monroe County, NY",2017,7893,0.05%
,New York,"Monroe County, NY",2018,7772,0.05%
,New York,"Monroe County, NY",2019,7913,0.05%
Total,New York,"Monroe County, NY",,31582,0.21%
,New York,"Nassau County, NY",2016,14329,0.09%
,New York,"Nassau County, NY",2017,14178,0.09%
,New York,"Nassau County, NY",2018,14128,0.09%
,New York,"Nassau County, NY",2019,13810,0.09%
Total,New York,"Nassau County, NY",,56445,0.37%
,New York,"New York County, NY",2016,17587,0.11%
,New York,"New York County, NY",2017,17504,0.11%
,New York,"New York County, NY",2018,17020,0.11%
,New York,"New York County, NY",2019,16577,0.11%
Total,New York,"New York County, NY",,68688,0.45%
,New York,"Niagara County, NY",2016,2139,0.01%
,New York,"Niagara County, NY",2017,2114,0.01%
,New York,"Niagara County, NY",2018,2100,0.01%
,New York,"Niagara County, NY",2019,2066,0.01%
Total,New York,"Niagara County, NY",,8419,0.05%
,New York,"Oneida County, NY",2016,2497,0.02%
,New York,"Oneida County, NY",2017,2555,0.02%
,New York,"Oneida County, NY",2018,2500,0.02%
,New York,"Oneida County, NY",2019,2489,0.02%
Total,New York,"Oneida County, NY",,10041,0.07%
,New York,"Onondaga County, NY",2016,5242,0.03%
,New York,"Onondaga County, NY",2017,5052,0.03%
,New York,"Onondaga County, NY",2018,5236,0.03%
,New York,"Onondaga County, NY",2019,5051,0.03%
Total,New York,"Onondaga County, NY",,20581,0.13%
,New York,"Ontario County, NY",2016,997,0.01%
,New York,"Ontario County, NY",2017,984,0.01%
,New York,"Ontario County, NY",2018,966,0.01%
,New York,"Ontario County, NY",2019,964,0.01%
Total,New York,"Ontario County, NY",,3911,0.03%
,New York,"Orange County, NY",2016,4993,0.03%
,New York,"Orange County, NY",2017,5092,0.03%
,New York,"Orange County, NY",2018,5065,0.03%
,New York,"Orange County, NY",2019,5199,0.03%
Total,New York,"Orange County, NY",,20349,0.13%
,New York,"Oswego County, NY",2016,1331,0.01%
,New York,"Oswego County, NY",2017,1248,0.01%
,New York,"Oswego County, NY",2018,1217,0.01%
,New York,"Oswego County, NY",2019,1233,0.01%
Total,New York,"Oswego County, NY",,5029,0.03%
,New York,"Queens County, NY",2016,30377,0.20%
,New York,"Queens County, NY",2017,29008,0.19%
,New York,"Queens County, NY",2018,28042,0.18%
,New York,"Queens County, NY",2019,27063,0.18%
Total,New York,"Queens County, NY",,114490,0.75%
,New York,"Rensselaer County, NY",2016,1726,0.01%
,New York,"Rensselaer County, NY",2017,1589,0.01%
,New York,"Rensselaer County, NY",2018,1591,0.01%
,New York,"Rensselaer County, NY",2019,1608,0.01%
Total,New York,"Rensselaer County, NY",,6514,0.04%
,New York,"Richmond County, NY",2016,5464,0.04%
,New York,"Richmond County, NY",2017,5444,0.04%
,New York,"Richmond County, NY",2018,5186,0.03%
,New York,"Richmond County, NY",2019,5283,0.03%
Total,New York,"Richmond County, NY",,21377,0.14%
,New York,"Rockland County, NY",2016,5440,0.04%
,New York,"Rockland County, NY",2017,5481,0.04%
,New York,"Rockland County, NY",2018,5719,0.04%
,New York,"Rockland County, NY",2019,5714,0.04%
Total,New York,"Rockland County, NY",,22354,0.15%
,New York,"St. Lawrence County, NY",2016,1083,0.01%
,New York,"St. Lawrence County, NY",2017,1038,0.01%
,New York,"St. Lawrence County, NY",2018,1080,0.01%
,New York,"St. Lawrence County, NY",2019,984,0.01%
Total,New York,"St. Lawrence County, NY",,4185,0.03%
,New York,"Saratoga County, NY",2016,2210,0.01%
,New York,"Saratoga County, NY",2017,2135,0.01%
,New York,"Saratoga County, NY",2018,2022,0.01%
,New York,"Saratoga County, NY",2019,2062,0.01%
Total,New York,"Saratoga County, NY",,8429,0.05%
,New York,"Schenectady County, NY",2016,1770,0.01%
,New York,"Schenectady County, NY",2017,1814,0.01%
,New York,"Schenectady County, NY",2018,1840,0.01%
,New York,"Schenectady County, NY",2019,1798,0.01%
Total,New York,"Schenectady County, NY",,7222,0.05%
,New York,"Suffolk County, NY",2016,15559,0.10%
,New York,"Suffolk County, NY",2017,15359,0.10%
,New York,"Suffolk County, NY",2018,15278,0.10%
,New York,"Suffolk County, NY",2019,15036,0.10%
Total,New York,"Suffolk County, NY",,61232,0.40%
,New York,"Tompkins County, NY",2016,787,0.01%
,New York,"Tompkins County, NY",2017,767,0.00%
,New York,"Tompkins County, NY",2018,735,0.00%
,New York,"Tompkins County, NY",2019,704,0.00%
Total,New York,"Tompkins County, NY",,2993,0.02%
,New York,"Ulster County, NY",2016,1482,0.01%
,New York,"Ulster County, NY",2017,1453,0.01%
,New York,"Ulster County, NY",2018,1546,0.01%
,New York,"Ulster County, NY",2019,1526,0.01%
Total,New York,"Ulster County, NY",,6007,0.04%
,New York,"Westchester County, NY",2016,10280,0.07%
,New York,"Westchester County, NY",2017,10400,0.07%
,New York,"Westchester County, NY",2018,10091,0.07%
,New York,"Westchester County, NY",2019,9880,0.06%
Total,New York,"Westchester County, NY",,40651,0.26%
,New York,"Unidentified Counties, NY",2016,18322,0.12%
,New York,"Unidentified Counties, NY",2017,17960,0.12%
,New York,"Unidentified Counties, NY",2018,18122,0.12%
,New York,"Unidentified Counties, NY",2019,17702,0.12%
Total,New York,"Unidentified Counties, NY",,72106,0.47%
Total,New York,,,911797,5.94%
,North Carolina,"Alamance County, NC",2016,1856,0.01%
,North Carolina,"Alamance County, NC",2017,1940,0.01%
,North Carolina,"Alamance County, NC",2018,1958,0.01%
,North Carolina,"Alamance County, NC",2019,1863,0.01%
Total,North Carolina,"Alamance County, NC",,7617,0.05%
,North Carolina,"Brunswick County, NC",2016,978,0.01%
,North Carolina,"Brunswick County, NC",2017,1008,0.01%
,North Carolina,"Brunswick County, NC",2018,987,0.01%
,North Carolina,"Brunswick County, NC",2019,1026,0.01%
Total,North Carolina,"Brunswick County, NC",,3999,0.03%
,North Carolina,"Buncombe County, NC",2016,2595,0.02%
,North Carolina,"Buncombe County, NC",2017,2393,0.02%
,North Carolina,"Buncombe County, NC",2018,2482,0.02%
,North Carolina,"Buncombe County, NC",2019,2463,0.02%
Total,North Carolina,"Buncombe County, NC",,9933,0.06%
,North Carolina,"Cabarrus County, NC",2016,2477,0.02%
,North Carolina,"Cabarrus County, NC",2017,2593,0.02%
,North Carolina,"Cabarrus County, NC",2018,2509,0.02%
,North Carolina,"Cabarrus County, NC",2019,2538,0.02%
Total,North Carolina,"Cabarrus County, NC",,10117,0.07%
,North Carolina,"Catawba County, NC",2016,1664,0.01%
,North Carolina,"Catawba County, NC",2017,1652,0.01%
,North Carolina,"Catawba County, NC",2018,1693,0.01%
,North Carolina,"Catawba County, NC",2019,1687,0.01%
Total,North Carolina,"Catawba County, NC",,6696,0.04%
,North Carolina,"Craven County, NC",2016,1438,0.01%
,North Carolina,"Craven County, NC",2017,1386,0.01%
,North Carolina,"Craven County, NC",2018,1337,0.01%
,North Carolina,"Craven County, NC",2019,1319,0.01%
Total,North Carolina,"Craven County, NC",,5480,0.04%
,North Carolina,"Cumberland County, NC",2016,5446,0.04%
,North Carolina,"Cumberland County, NC",2017,5506,0.04%
,North Carolina,"Cumberland County, NC",2018,5401,0.04%
,North Carolina,"Cumberland County, NC",2019,5462,0.04%
Total,North Carolina,"Cumberland County, NC",,21815,0.14%
,North Carolina,"Davidson County, NC",2016,1771,0.01%
,North Carolina,"Davidson County, NC",2017,1761,0.01%
,North Carolina,"Davidson County, NC",2018,1751,0.01%
,North Carolina,"Davidson County, NC",2019,1775,0.01%
Total,North Carolina,"Davidson County, NC",,7058,0.05%
,North Carolina,"Durham County, NC",2016,4346,0.03%
,North Carolina,"Durham County, NC",2017,4181,0.03%
,North Carolina,"Durham County, NC",2018,4152,0.03%
,North Carolina,"Durham County, NC",2019,4158,0.03%
Total,North Carolina,"Durham County, NC",,16837,0.11%
,North Carolina,"Forsyth County, NC",2016,4496,0.03%
,North Carolina,"Forsyth County, NC",2017,4368,0.03%
,North Carolina,"Forsyth County, NC",2018,4330,0.03%
,North Carolina,"Forsyth County, NC",2019,4410,0.03%
Total,North Carolina,"Forsyth County, NC",,17604,0.11%
,North Carolina,"Gaston County, NC",2016,2524,0.02%
,North Carolina,"Gaston County, NC",2017,2588,0.02%
,North Carolina,"Gaston County, NC",2018,2525,0.02%
,North Carolina,"Gaston County, NC",2019,2598,0.02%
Total,North Carolina,"Gaston County, NC",,10235,0.07%
,North Carolina,"Guilford County, NC",2016,6259,0.04%
,North Carolina,"Guilford County, NC",2017,6218,0.04%
,North Carolina,"Guilford County, NC",2018,6115,0.04%
,North Carolina,"Guilford County, NC",2019,6045,0.04%
Total,North Carolina,"Guilford County, NC",,24637,0.16%
,North Carolina,"Harnett County, NC",2016,1861,0.01%
,North Carolina,"Harnett County, NC",2017,1886,0.01%
,North Carolina,"Harnett County, NC",2018,1845,0.01%
,North Carolina,"Harnett County, NC",2019,1860,0.01%
Total,North Carolina,"Harnett County, NC",,7452,0.05%
,North Carolina,"Henderson County, NC",2016,1089,0.01%
,North Carolina,"Henderson County, NC",2017,1040,0.01%
,North Carolina,"Henderson County, NC",2018,1093,0.01%
,North Carolina,"Henderson County, NC",2019,1022,0.01%
Total,North Carolina,"Henderson County, NC",,4244,0.03%
,North Carolina,"Iredell County, NC",2016,1923,0.01%
,North Carolina,"Iredell County, NC",2017,1858,0.01%
,North Carolina,"Iredell County, NC",2018,1891,0.01%
,North Carolina,"Iredell County, NC",2019,1883,0.01%
Total,North Carolina,"Iredell County, NC",,7555,0.05%
,North Carolina,"Johnston County, NC",2016,2336,0.02%
,North Carolina,"Johnston County, NC",2017,2318,0.02%
,North Carolina,"Johnston County, NC",2018,2299,0.01%
,North Carolina,"Johnston County, NC",2019,2522,0.02%
Total,North Carolina,"Johnston County, NC",,9475,0.06%
,North Carolina,"Mecklenburg County, NC",2016,14881,0.10%
,North Carolina,"Mecklenburg County, NC",2017,14753,0.10%
,North Carolina,"Mecklenburg County, NC",2018,14650,0.10%
,North Carolina,"Mecklenburg County, NC",2019,14401,0.09%
